@@,item,name,positionitem,position,start,end
+++,Q112133372,Adoracion Salas Chonco,Q112162674,Fishing and Water Resources,2018-02-06,2019-12-31
+++,Q24574730,Agapito Mba Mokuy,Q111021196,"Foreign Affairs, International Cooperation and Francophone Affairs",2012-05-22,2018-02-06
+++,Q112162957,Alejandro Bacale Ncogo,Q111021195,Defence,2018-02-06,2019-12-31
+++,Q112162958,Alejandro Evuna Owono Asangono,Q112162678,Missions,1989-11-25,2019-12-31
+++,Q112128551,Alfonso Nsue Mokuy,Q112128225,"Information, Tourism and Culture",2004-06-15,2006-08-22
+++,Q112128551,Alfonso Nsue Mokuy,Q112162663,Minister at the Presidency,2006-08-22,2008-07-15
+++,Q112128551,Alfonso Nsue Mokuy,Q112162701,Vice-Prime Minister in charge of Human Rights Affairs,2015-04-15,2019-12-31
+++,Q112128551,Alfonso Nsue Mokuy,Q112162701,Vice-Prime Minister in charge of Social and Human Rights Affairs,2012-05-22,2015-04-15
+++,Q112133375,Alfredo Mitogo Mitogo,Q111021197,Agriculture and Forests,2013-09-04,2015-04-15
+++,Q112133375,Alfredo Mitogo Mitogo,Q112162696,Trade and Business Promotion,2015-04-15,2016-06-24
+++,Q112133227,Anastasio Asumu Mum Munoz,Q112162674,Fishing and Environment,2008-07-15,2012-05-22
+++,Q112162959,Andrés Jorge Mbomio Nsem Abu,Q112162699,Youth and Sports,2015-04-15,2017-06-13
+++,Q112128540,Angel Masie Mibuy,Q111021203,Justice and Penitentiary Institutions,2004-06-15,2006-08-22
+++,Q112128540,Angel Masie Mibuy,Q112162690,Relations with Parliament and Legal Affairs of the Government,2006-08-22,2016-06-24
+++,Q112128540,Angel Masie Mibuy,Q112162701,Vice-Prime Minister in charge of Parliamentary Relations and Judicial Affairs,2016-06-24,2019-12-31
+++,,Angel Serafin Seriche Dugan,Q2351213,Prime Minister,1996-03-25,2001-02-23
+++,Q112162960,Aniceto Ebiaka Muete,Q112162698,Urban Planning and Infrastructure,2004-06-15,2006-08-22
+++,Q112162960,Aniceto Ebiaka Muete,Q112162701,Vice-Prime Minister in charge of Economy and Finance,2008-07-15,2012-05-22
+++,Q112162960,Aniceto Ebiaka Muete,Q112162701,Vice-Prime Minister in charge of Human Rights,2006-08-22,2008-07-15
+++,Q112162961,Anselmo Ondo Eseno,Q111021199,"Education, Science and Sport",2008-07-15,2010-01-12
+++,Q112128529,Antonio Fernando Nve Ngu,Q111021199,Education and Science,2003-02-11,2004-06-15
+++,Q112128529,Antonio Fernando Nve Ngu,Q111021199,Education and Science,2001-03-09,2003-02-11
+++,Q112128529,Antonio Fernando Nve Ngu,Q112162680,"Parliament Relations, Juridical Affairs and Government Spokesman",1999-07-22,2001-03-09
+++,Q112162962,Antonio Martin Ndong Ntutumu,Q112162665,Administrative Coordination and Relations with Parliament,2004-06-15,2006-08-22
+++,Q112162962,Antonio Martin Ndong Ntutumu,Q111020058,Health and Social Welfare,2006-08-22,2008-07-15
+++,Q63731266,Antonio Mba Nguema,Q111021195,Defence,2004-06-15,2016-06-24
+++,Q63731266,Antonio Mba Nguema,Q112162684,Presidential Security,2016-06-24,2019-12-31
+++,Q112162963,Antonio Nve Nseng,Q112162681,Planning and Economic Development,2003-02-11,2004-06-15
+++,Q112162965,Antonio Pedro Olivera Boropu,Q112162696,Trade,2016-06-24,2018-02-06
+++,Q112128507,Atanasio Ela Ntugu Nsa,Q112162677,"Mines, Industry and Energy",2004-06-15,2008-07-15
+++,Q112162966,Augustin Nse Nfumu,Q112128225,"Information, Press, and Radio",2012-05-22,2013-09-04
+++,Q112162966,Augustin Nse Nfumu,Q112128225,"Information, Tourism and Culture",2003-02-11,2004-06-15
+++,Q112162967,Baltasar Engonga Edjo,Q111021198,Economy and Finance,2001-03-09,2004-06-15
+++,Q112162967,Baltasar Engonga Edjo,Q112162689,Regional Integration,2006-02-14,2019-12-31
+++,Q112162968,Baltasar Esono Oworo Nfono,Q112162700,Minister without Portfolio,2016-06-24,2019-12-31
+++,Q112162969,Braulio Ncogo Abegue,Q112162669,Civil Cabinet,2008-07-15,2016-06-24
+++,Q1149802,Candido Muatetema Rivas,Q2351213,Prime Minister,2001-02-26,2004-06-15
+++,Q112162970,Carmelo Modu Acusé Bindang,Q111021201,"Industry, Commerce and Small and Medium Enterprises",2003-02-11,2004-06-15
+++,Q112162970,Carmelo Modu Acusé Bindang,Q112162681,Planning and Economic Development,2004-06-15,2006-08-22
+++,Q112162970,Carmelo Modu Acusé Bindang,Q112162683,Political and Administrative Affairs,2006-08-22,2008-07-15
+++,Q112162971,Celestino Bonifacio Bakale Obiang,Q111021198,"Economy, Commerce, and Business Promotion",2012-05-22,2013-09-04
+++,Q112162971,Celestino Bonifacio Bakale Obiang,Q111021204,"Labour, Employment Promotion and Social Security",2018-02-06,2019-12-31
+++,Q112162971,Celestino Bonifacio Bakale Obiang,Q112162696,Trade and Business Promotion,2013-09-04,2015-04-15
+++,Q112162971,Celestino Bonifacio Bakale Obiang,Q112162697,Transport and Posts,2016-06-24,2018-02-06
+++,Q112162971,Celestino Bonifacio Bakale Obiang,Q112162697,"Transport, Technology, and Posts and Telecommunications",2015-04-15,2016-06-24
+++,Q112162972,Clemente Engonga Nguema Andeme,Q111021202,Interior and Local Corporations,2001-03-09,2012-05-22
+++,Q112162972,Clemente Engonga Nguema Andeme,Q111021199,"Vice-Prime Minister and Minister for Education, University Teaching and Sports",2019-04-10,2019-12-31
+++,Q112162972,Clemente Engonga Nguema Andeme,Q112162701,"Vice-Prime Minister, Head of the Political Affairs and Democracy and Minister of Interior and Local Corporations",2012-05-22,2019-04-10
+++,Q112133387,Conrado Okenve Ndoho,Q111021198,"Economy, Planning and Public Investment",2013-09-04,2015-04-15
+++,Q112133387,Conrado Okenve Ndoho,Q112162681,"Planning, Economic Development, and Public Investment",2012-05-22,2013-09-04
+++,Q112162973,Constantino Ekong Zue,Q111021201,"Industry, Commerce and Small and Medium Enterprises",1999-07-22,2003-02-11
+++,Q112133389,Consuelo Ondo Nsang,Q112162691,Social Affairs and Gender Equality,2015-04-15,2018-02-06
+++,Q112162975,Crescencio Tamarite Castano,Q112162674,Fishing and Environment,2012-05-22,2015-04-15
+++,Q112128524,Cristobal Menana Ela,Q111021199,"Education, Science and Sport",2004-06-15,2008-07-15
+++,Q112128524,Cristobal Menana Ela,Q112162677,Mines and Energy,1999-07-22,2004-06-15
+++,Q112162550,Cándido Nsue Okomo,Q112162699,Youth and Sports,2017-06-13,2018-02-06
+++,Q112162976,César Augusto Mba Abogo,Q111021200,"Finance, Economy and Planning",2019-04-10,2019-12-31
+++,Q112128517,Demetrio Elo Ndong Nsefumu,Q111021204,Labour and Social Security,2006-06-15,2006-08-22
+++,Q112128517,Demetrio Elo Ndong Nsefumu,Q112162697,"Transport, Technology, and Posts and Telecommunications",2004-06-15,2006-06-15
+++,Q112128517,Demetrio Elo Ndong Nsefumu,Q112162701,Vice-Prime Minister and Minister of Interior and Local Corporations,1999-07-22,2001-02-26
+++,Q112128517,Demetrio Elo Ndong Nsefumu,Q112162701,Vice-Prime Minister in charge of Domestic Policy,2003-02-11,2004-06-15
+++,Q112128517,Demetrio Elo Ndong Nsefumu,Q112162701,Vice-Prime Minister in charge of Domestic Policy,2006-08-22,2011-02-19
+++,Q112128517,Demetrio Elo Ndong Nsefumu,Q112162701,"Vice-Prime Minister in charge of Domestic Policy, Urban Planning and Infrastructure",2011-02-19,2012-05-22
---,Q57418,Denis Sassou-Nguesso,Q10353660,President of the Republic of the Congo,1997-10-25,
+++,Q112162977,Diosdado Nsue Medja,Q111021205,"Public Works, Housing, and Town Planning",2018-02-06,2019-12-31
+++,Q112162978,Diosdado Vicente Nsue Milan,Q111020058,Health and Social Welfare,2013-09-04,2016-06-24
+++,Q112133587,Enrique Mercader Costa,Q111021204,Labour and Social Security,2004-06-15,2006-06-15
+++,Q112133587,Enrique Mercader Costa,Q112162697,"Transport, Technology, and Posts and Telecommunications",2006-06-15,2010-01-12
+++,Q112162980,Estanislao Don Malavo,Q111021200,Finance and Budget,2008-07-15,2010-01-12
+++,Q112162980,Estanislao Don Malavo,Q112162674,Fishing and Environment,2015-04-15,2016-06-24
+++,Q112162980,Estanislao Don Malavo,Q112162674,Fishing and Water Resources,2016-06-24,2018-02-06
+++,Q112162980,Estanislao Don Malavo,Q111021204,Labour and Social Security,2010-01-12,2012-05-22
+++,Q112133244,Eucario Bakale Angüe,Q111021198,"Economy, Planning and Public Investment",2015-04-15,2018-02-06
+++,Q112133244,Eucario Bakale Angüe,Q112162686,Public Administration and Administrative Reform,2019-04-10,2019-12-31
+++,Q112133244,Eucario Bakale Angüe,Q112162697,"Transport, the Postal Service and Telecommunications",2018-02-06,2019-04-10
+++,Q112162981,Eugenio Edu Ndong,Q111021201,Industry and Energy,2016-06-24,2018-02-06
+++,Q112133750,Eugenio Nse Obiang,Q112128225,"Information, Press, and Radio",2015-04-15,2019-12-31
+++,Q112133557,Eulalia Envo Bela,Q112162691,Social Affairs and Promotion of Women,2006-08-22,2012-05-22
+++,Q42907516,Evangelina Oyo Ebule,Q111021203,"Justice, Religion, and Penitentiary Institutions",2013-09-04,2018-02-06
+++,Q42907516,Evangelina Oyo Ebule,Q111021204,Labour and Social Security,2006-08-22,2008-07-15
+++,Q112162982,Faustino Ndong Esono Eyang,Q111021202,Interior and Local Corporations,2019-04-10,2019-12-31
+++,Q112162982,Faustino Ndong Esono Eyang,Q112162700,Minister without Portfolio,2013-09-04,2016-06-24
+++,Q112162982,Faustino Ndong Esono Eyang,Q112162686,Public Administration and Administrative Reform,2016-06-24,2019-04-10
+++,Q5438322,Fausto Abeso Fuma,Q112162668,Civil Aviation,2016-06-24,2018-02-06
+++,Q112162983,Fernando Mbale Mba,Q112162670,Civil Service and Administrative Reform,1998-01-23,2001-03-09
+++,Q112162984,Fidel Nsue Micha,Q112162698,Urban Planning and Infrastructure,2006-08-22,2008-07-15
+++,Q45320454,Filiberto Ntutumu Nguema,Q111021199,"Education, Science and Sport",2010-01-12,2011-01-28
+++,Q112162985,Florentino Nkogo Ndong,Q111021205,Public Works and Urban Affairs,1999-07-22,2003-02-11
+++,Q112128545,Fortunato Ofa Mbo Nchama,Q112162665,Administrative Coordination,2006-08-22,2008-07-15
+++,Q112128545,Fortunato Ofa Mbo Nchama,Q112162674,Fishing and Environment,2003-02-11,2006-08-22
+++,Q112128545,Fortunato Ofa Mbo Nchama,Q112162681,Planning and Economic Development,1999-07-22,2003-02-11
+++,Q112133405,Francisca Tatchoup Belope,Q111021198,"Economy, Commerce, and Business Promotion",2011-01-28,2012-05-22
+++,Q112162986,Francisco Javier Ngomo Mbengono,Q111021203,"Justice, Religion, and Penitentiary Institutions",2011-01-28,2013-09-04
+++,Q112128550,Francisco Mba Olo Bahamonde,Q111021197,Agriculture and Forests,2015-04-15,2019-12-31
+++,Q112128550,Francisco Mba Olo Bahamonde,Q112162675,Forests and Environment,2016-06-24,2018-02-06
+++,Q112128550,Francisco Mba Olo Bahamonde,Q112162697,"Transport, Technology, and Posts and Telecommunications",2012-05-22,2015-04-15
+++,Q24761111,Francisco Pascual Eyegue Obama Asue,Q111021197,"Agriculture, Livestock and Rural Development",2003-02-11,2004-06-15
+++,Q24761111,Francisco Pascual Eyegue Obama Asue,Q111020058,Health and Social Welfare,2008-07-15,2011-01-28
+++,Q24761111,Francisco Pascual Eyegue Obama Asue,Q2351213,Prime Minister and Minister of Administrative Coordination,2016-06-24,2019-12-31
+++,Q24761111,Francisco Pascual Eyegue Obama Asue,Q112162701,Vice-Prime Minister in charge of the Social Sector,2015-04-15,2016-06-24
+++,Q24761111,Francisco Pascual Eyegue Obama Asue,Q112162699,Youth and Sports,2012-05-22,2015-04-15
+++,Q45042829,Gabriel Mbega Obiang Lima,Q112162677,Mines and Hydrocarbons,2016-06-24,2019-12-31
+++,Q45042829,Gabriel Mbega Obiang Lima,Q112162677,"Mines, Industry and Energy",2012-05-22,2016-06-24
+++,Q112162987,Gregorio Boho Camo,Q111021197,"Agriculture, Livestock and Rural Development",2001-03-09,2003-02-11
+++,Q24685671,Guillermina Mekuy Mba Obono,Q112162672,Culture and Craft Production,2016-06-24,2018-02-06
+++,Q112162988,Heriberto Mico Mbengono,Q111021204,Labour and Social Security,2013-01-30,2016-06-24
+++,Q112133412,Hermes Ela Mifumu,Q112162685,Promotion of Small and Medium Businesses,2016-06-24,2018-02-06
+++,Q57898,Ignacio Milam Tang,Q112162700,Minister without Portfolio,2003-02-11,2004-06-15
+++,Q57898,Ignacio Milam Tang,Q2351213,Prime Minister,2008-07-15,2012-05-22
+++,Q57898,Ignacio Milam Tang,Q7925046,Vice-President,2012-05-22,2016-06-24
+++,Q57898,Ignacio Milam Tang,Q112162701,Vice-Prime Minister,2001-02-26,2001-03-09
+++,Q57898,Ignacio Milam Tang,Q112162701,Vice-Prime Minister and Minister of Administrative Reform and Civil Service,2001-03-09,2003-02-11
+++,Q112128530,Jaime Ela Ndong,Q111021198,"Economy, Trade and Promotion",2004-06-15,2008-07-15
---,Q15046890,Jean-Claude Gakosso,Q112315782,Minister of Culture and Arts,2002-08-18,2015-08-10
+++,Q112162989,Jeremias Ondo Ngomo,Q112162701,Vice-Prime Minister in charge of Social Affairs and Human Rights,2003-02-11,2004-06-15
+++,Q3177434,Jeronimo Osa Osa Ecoro,Q112128225,"Information, Tourism and Culture",2008-07-15,2012-05-22
+++,Q112128467,Jesusa Obono Engono,Q28555503,Women Affairs,2004-06-15,2006-08-22
+++,Q112133418,Jesús Engonga Ndong,Q111021199,Education and Science,2015-04-15,2018-02-06
+++,Q112133418,Jesús Engonga Ndong,Q111021199,"Education, University Teaching and Sports",2018-02-06,2019-04-10
+++,Q112162990,Joaquín Mbana Nchama,Q111021199,Education and Science,2011-01-28,2012-05-22
+++,Q112162991,José Ela Oyana,Q112162681,"Planning, Economic Development, and Public Investment",2006-08-22,2012-05-22
+++,Q112133252,Juan Antonio Bibang Nchuchuma,Q112162673,External Security,2018-02-06,2019-12-31
+++,Q112162993,Juan Antonio Ntutumu,Q111020058,Health and Social Welfare,1999-07-22,2001-03-09
+++,Q112162993,Juan Antonio Ntutumu,Q112162699,Youth and Sports,2001-03-09,2003-02-11
+++,Q112162994,Juan Nko Mbula,Q112162698,Urban Planning and Infrastructure,2012-05-22,2016-06-24
+++,Q112162995,Justino Obama Nve,Q111020058,Health and Social Welfare,2003-02-11,2006-08-22
+++,Q112162996,Leandro Miko Angue,Q112162668,Civil Aviation,2018-02-06,2019-12-31
+++,Q17711819,Lucas Abaga Nchama,Q111021200,"Finance, Economy, and Planning",2018-02-06,2019-04-10
+++,Q112133254,Lucas Nguema Esono Mbang,Q112128225,"Information, Tourism and Culture",1999-07-22,2003-02-11
+++,Q112133254,Lucas Nguema Esono Mbang,Q112162701,Vice-Prime Minister in charge of the Social Sector and Minister of Education and Science,2013-09-04,2015-04-15
+++,Q112133254,Lucas Nguema Esono Mbang,Q112162699,Youth and Sports,2003-02-11,2004-06-15
+++,Q112162997,Manuel Nguema Mba,Q112162679,National Security,2004-06-15,2009-02-24
+++,Q55104853,Marcelino Nguema Onguene,Q111020058,Health and Social Welfare,2001-03-09,2003-02-11
+++,Q29122413,Marcelino Owono Edu,Q112162667,Budget,2003-02-11,2004-06-15
+++,Q29122413,Marcelino Owono Edu,Q111021200,Finance and Budget,2004-06-15,2008-07-15
+++,Q29122413,Marcelino Owono Edu,Q111021200,Finance and Budget,2012-05-22,2015-04-15
+++,Q29122413,Marcelino Owono Edu,Q112162677,"Mines, Industry and Energy",2008-07-15,2012-05-22
+++,Q112128490,Marcelino Oyono Ntutumu,Q112162697,Transport and Communications,1998-01-23,2004-06-15
+++,Q112128490,Marcelino Oyono Ntutumu,Q112162698,Urban Planning and Infrastructure,2008-07-15,2011-02-19
+++,Q112128490,Marcelino Oyono Ntutumu,Q112162701,Vice-Prime Minister in charge of Domestic Policy,2004-06-15,2006-08-22
+++,Q112133717,Maria Leonor Epam Biribe,Q112162691,Social Affairs and Promotion of Women,2012-05-22,2013-09-04
+++,Q112162998,Maria del Carmen Ekoro,Q111021199,Education and Science,2012-05-22,2013-09-04
+++,Q112162998,Maria del Carmen Ekoro,Q112162691,Social Affairs and Gender Equality,2013-09-04,2015-04-15
+++,Q112162999,María Consuelo Nguema Oyana,Q112162691,Social Affairs and Gender Equality,2018-02-06,2019-12-31
+++,Q112128491,Mauricio Bokung Asumu,Q112162665,Administrative Coordination,2010-01-12,2011-01-28
+++,Q112128491,Mauricio Bokung Asumu,Q111021203,"Justice, Religion, and Penitentiary Institutions",2006-08-22,2008-07-15
+++,Q112128491,Mauricio Bokung Asumu,Q111021204,Labour and Social Security,2008-07-15,2010-01-12
+++,Q112128491,Mauricio Bokung Asumu,Q112162697,"Transport, Technology, and Posts and Telecommunications",2011-01-28,2012-05-22
+++,Q112163001,Maximiliano Meko Aveme,Q112162692,Telecommunications and New Technologies,2016-06-24,2018-02-06
+++,Q112133263,Melchor Esono Edjo,Q111021200,Finance and Budget,2010-01-12,2012-05-22
+++,Q58151,Micha Ondo Bile,Q111021196,"Foreign Affairs, International Cooperation and Francophone Affairs",2003-02-11,2012-05-22
+++,Q58151,Micha Ondo Bile,Q112162696,Trade and Promotion of Small and Medium Businesses,2018-02-06,2019-12-31
+++,Q1353126,Miguel Abia Biteo Borico,Q111021198,Economy and Finance,1999-07-22,2001-03-09
+++,Q1353126,Miguel Abia Biteo Borico,Q111021204,Labour and Social Security,2012-05-22,2012-12-06
+++,Q1353126,Miguel Abia Biteo Borico,Q112162680,"Parliament Relations, Juridical Affairs and Government Spokesman",2001-03-09,2004-06-15
+++,Q1353126,Miguel Abia Biteo Borico,Q2351213,Prime Minister,2004-06-15,2006-08-22
+++,Q112163002,Miguel Ekua Ondo,Q111021201,Industry and Energy,2018-02-06,2019-12-31
+++,Q112163003,Miguel Engonga Obiang Eyang,Q111021200,Finance and Budget,2015-04-15,2018-02-06
+++,Q112163004,Miguel Eyanga Jobe Malango,Q111021204,Labour and Social Security,2003-02-11,2004-06-15
+++,Q112163005,Miguel Oyono Ndongo Mifumu,Q111021197,Agriculture and Forests,2012-05-22,2013-09-04
+++,Q112163005,Miguel Oyono Ndongo Mifumu,Q112162701,Vice-Prime Minister,1999-07-22,2001-02-26
+++,Q112163006,Nguema Mbasogo,Q19058522,President,2004-06-15,2019-12-31
+++,Q112163006,Nguema Mbasogo,Q19058522,President and Minister of Defence,1993-12-22,2004-06-15
+++,Q477201,Nguema Teodoro Obiang,Q111021197,Agriculture and Forests,2004-06-15,2012-05-22
+++,Q477201,Nguema Teodoro Obiang,Q112162675,"Forests, Fishing and Environment",1999-07-22,2003-02-11
+++,Q477201,Nguema Teodoro Obiang,Q112162676,Infrastructure and Forests,2003-02-11,2004-06-15
+++,Q477201,Nguema Teodoro Obiang,Q7925046,Vice-President,2012-05-22,2016-06-24
+++,Q477201,Nguema Teodoro Obiang,Q112162701,Vice-Prime Minister in charge of National Defence and State Security,2016-06-24,2019-12-31
+++,Q112163007,Nicolas Obama Nchama,Q112162679,National Security,2009-02-24,2019-12-31
+++,Q112163009,Nicolás Houtonji Acapo,Q111021197,"Agriculture, Livestock, Forests, and Environment",2018-02-06,2019-12-31
+++,Q112133267,Pedro Ondo Nguema,Q111021198,"Economy, Commerce, and Business Promotion",2008-07-15,2011-01-28
+++,Q112133267,Pedro Ondo Nguema,Q111021205,Public Works and Infrastructure,2016-06-24,2018-02-06
+++,Q112163010,Purificacion Buari Lasaqueros,Q112162687,Public Service and Administrative Planning,2012-05-22,2016-06-24
+++,Q112163011,Reginaldo Asue Mangue,Q112162694,Town Planning,2016-06-24,2018-02-06
+++,Q602837,Ricardo Mangue Obama Nfube,Q111021204,Labour and Social Security,1999-07-22,2003-02-11
+++,Q602837,Ricardo Mangue Obama Nfube,Q2351213,Prime Minister,2006-08-22,2008-07-15
+++,Q602837,Ricardo Mangue Obama Nfube,Q111021205,Public Works and Administrative Coordination,2003-02-11,2004-06-15
+++,Q602837,Ricardo Mangue Obama Nfube,Q112162701,Vice-Prime Minister in charge of Civil Service and Administrative Reform,2004-06-15,2006-08-22
+++,Q112163012,Ruben Mye Nsue,Q111021203,Justice,1998-01-23,2004-06-15
+++,Q112163013,Rufino Ndong Esono Nchama,Q112162672,"Culture, Tourism and Craft Promotion",2018-02-06,2019-12-31
+++,Q112163014,Rufino Owono Engonga,Q112162697,"Transport, the Postal Service and Telecommunications",2019-04-10,2019-12-31
+++,Q112128523,Salomon Nguema Owono,Q111020058,Health and Social Welfare,2016-06-24,2019-12-31
+++,Q112128523,Salomon Nguema Owono,Q112162701,Vice-Prime Minister in charge of Health and Social Wellbeing,2011-01-28,2012-05-22
+++,Q112128523,Salomon Nguema Owono,Q112162701,Vice-Prime Minister in charge of Human Rights,2008-07-15,2011-01-28
+++,Q112163015,Salvador Mangue Avingono,Q112162687,Public Service and Administrative Planning,2008-07-15,2010-01-12
+++,Q112163016,Salvador Ondo Nkumu,Q111021203,"Justice, Religion, and Penitentiary Institutions",2008-07-15,2011-01-28
+++,Q112163016,Salvador Ondo Nkumu,Q111021203,"Justice, Religion, and Penitentiary Institutions",2018-02-06,2019-12-31
+++,Q112128487,Santiago Ngua Nfumu,Q111021199,"Education, Science and Francophone Affairs",1998-01-23,2001-03-09
+++,Q17198388,Santiago Nsobeya Efuman,Q111021196,Foreign Affairs and International Cooperation,1999-07-22,2001-03-09
+++,Q17198388,Santiago Nsobeya Efuman,Q111021196,"Foreign Affairs, International Cooperation and Francophone Affairs",2001-03-09,2003-02-11
+++,Q17198388,Santiago Nsobeya Efuman,Q112128225,"Information, Tourism and Culture",2006-08-22,2008-07-15
+++,Q55098190,Simeón Oyono Esono Angue,Q111021196,"Foreign Affairs, International Cooperation and Francophone Affairs",2018-02-06,2019-12-31
+++,Q112163017,Teobaldo Nchaso Matomba,Q112128225,"Information, Press, and Radio",2013-09-04,2015-04-15
+++,Q100786539,Teresa Efua Asangono,Q28555503,Women Advancement and Social Affairs,1999-07-22,2004-06-15
+++,Q112163018,Tomas Esono Ava,Q112162700,Minister without Portfolio,2012-05-22,2013-09-04
+++,Q112163018,Tomas Esono Ava,Q112162687,Public Service and Administrative Planning,2010-01-12,2012-05-22
+++,Q112133279,Tomas Mecheba Fernandez,Q112162671,Control and Prevention of HIV - AIDS and Sexually Transmitted Diseases,2013-09-04,2016-06-24
+++,Q112133279,Tomas Mecheba Fernandez,Q111020058,Health and Social Welfare,2012-05-22,2013-09-04
+++,Q112133279,Tomas Mecheba Fernandez,Q112162693,Tourism,2016-06-24,2018-02-06
+++,Q2201806,Vicente Eate Tomi,Q112162665,Administrative Coordination,2011-01-28,2012-05-22
+++,Q2201806,Vicente Eate Tomi,Q112162665,Administrative Coordination,2008-07-15,2010-01-12
+++,Q2201806,Vicente Eate Tomi,Q112162670,Civil Service and Administrative Reform,2006-08-22,2008-07-15
+++,Q2201806,Vicente Eate Tomi,Q2351213,Prime Minister and Minister of Administrative Coordination,2012-05-22,2016-06-24
+++,Q2201806,Vicente Eate Tomi,Q112162697,"Transport, Technology, and Posts and Telecommunications",2010-01-12,2011-01-28
+++,Q112163019,Vicente Eya Olomo,Q111021195,Defence,2016-06-24,2017-05-30
+++,Q112133280,Vicente Rodriguez Siosa,Q112162674,Fishing and Environment,2006-08-22,2008-07-15
+++,Q112163020,Vidal Djoni Becoba,Q112162699,Youth and Sports,1999-07-22,2001-03-09
+++,Q112163021,Víctor Grange Meile,Q111021197,"Agriculture, Livestock and Food",2016-06-24,2018-02-06
+++,Q112163023,Ángel Borico Moisés,Q111021204,"Labour, Employment Promotion and Social Security",2016-06-24,2018-02-06
